Monat,Batteriespeicher (Kapazität)
,Kapazität (GWh)
1,6.721
2,7.098
3,7.591
4,8.034
5,8.536
6,9.111
7,9.657
8,10.204
9,10.798
10,11.338
11,11.918
12,12.279
