Datum von;Datum bis;Gesamt [MWh] Originalauflösungen;Photovoltaik und Wind [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige [MWh] Originalauflösungen
01.01.2023 00:00;01.01.2023 01:00;56.012,00;38.993,75;3.478,25;35.515,50;0,00;17.018,25
01.01.2023 01:00;01.01.2023 02:00;56.152,00;38.734,75;3.390,25;35.344,50;0,00;17.417,25
01.01.2023 02:00;01.01.2023 03:00;53.669,00;38.534,25;3.395,50;35.138,75;0,00;15.134,75
01.01.2023 03:00;01.01.2023 04:00;52.712,00;37.851,25;3.410,25;34.441,00;0,00;14.860,75
01.01.2023 04:00;01.01.2023 05:00;51.940,00;37.329,25;3.431,25;33.898,00;0,00;14.610,75
01.01.2023 05:00;01.01.2023 06:00;51.219,00;36.810,00;3.454,25;33.355,75;0,00;14.409,00
01.01.2023 06:00;01.01.2023 07:00;52.643,00;36.414,25;3.464,00;32.950,25;0,00;16.228,75
01.01.2023 07:00;01.01.2023 08:00;53.383,00;35.055,75;3.475,75;31.580,00;0,00;18.327,25
01.01.2023 08:00;01.01.2023 09:00;55.646,00;34.871,50;3.484,25;30.716,75;670,50;20.774,50
01.01.2023 09:00;01.01.2023 10:00;59.149,00;37.106,25;3.486,75;29.622,00;3.997,50;22.042,75
01.01.2023 10:00;01.01.2023 11:00;61.953,00;39.569,00;3.489,25;28.180,75;7.899,00;22.384,00
01.01.2023 11:00;01.01.2023 12:00;63.292,00;40.520,00;3.497,00;26.446,75;10.576,25;22.772,00
01.01.2023 12:00;01.01.2023 13:00;62.106,00;38.913,00;3.554,25;24.255,50;11.103,25;23.193,00
01.01.2023 13:00;01.01.2023 14:00;57.032,00;34.958,50;3.566,75;21.991,25;9.400,50;22.073,50
01.01.2023 14:00;01.01.2023 15:00;53.130,00;31.350,25;5.507,75;19.866,50;5.976,00;21.779,75
01.01.2023 15:00;01.01.2023 16:00;49.885,00;26.344,75;5.690,00;18.309,00;2.345,75;23.540,25
01.01.2023 16:00;01.01.2023 17:00;48.547,00;23.570,25;5.670,75;17.631,25;268,25;24.976,75
01.01.2023 17:00;01.01.2023 18:00;50.069,00;23.297,25;5.548,75;17.748,50;0,00;26.771,75
01.01.2023 18:00;01.01.2023 19:00;51.434,00;23.718,00;5.404,50;18.313,50;0,00;27.716,00
01.01.2023 19:00;01.01.2023 20:00;52.114,00;24.128,50;5.297,00;18.831,50;0,00;27.985,50
01.01.2023 20:00;01.01.2023 21:00;51.091,00;23.434,00;5.180,25;18.253,75;0,00;27.657,00
01.01.2023 21:00;01.01.2023 22:00;49.965,00;23.038,75;4.990,25;18.048,50;0,00;26.926,25
01.01.2023 22:00;01.01.2023 23:00;49.440,00;22.747,50;4.637,00;18.110,50;0,00;26.692,50
01.01.2023 23:00;02.01.2023 00:00;47.463,00;22.702,75;4.193,00;18.509,75;0,00;24.760,25
02.01.2023 00:00;02.01.2023 01:00;44.218,00;20.766,00;3.408,00;17.358,00;0,00;23.452,00
02.01.2023 01:00;02.01.2023 02:00;43.158,00;20.469,25;2.339,50;18.129,75;0,00;22.688,75
02.01.2023 02:00;02.01.2023 03:00;43.662,00;21.138,25;1.723,25;19.415,00;0,00;22.523,75
02.01.2023 03:00;02.01.2023 04:00;42.952,00;22.237,50;1.359,75;20.877,75;0,00;20.714,50
02.01.2023 04:00;02.01.2023 05:00;43.866,00;23.284,25;1.142,00;22.142,25;0,00;20.581,75
02.01.2023 05:00;02.01.2023 06:00;46.297,00;24.276,75;1.098,75;23.178,00;0,00;22.020,25
02.01.2023 06:00;02.01.2023 07:00;52.929,00;25.680,25;1.259,50;24.420,75;0,00;27.248,75
02.01.2023 07:00;02.01.2023 08:00;58.597,00;26.402,00;1.437,25;24.964,75;0,00;32.195,00
02.01.2023 08:00;02.01.2023 09:00;61.821,00;27.600,75;1.596,50;25.387,75;616,50;34.220,25
02.01.2023 09:00;02.01.2023 10:00;64.513,00;30.865,75;1.828,75;25.455,25;3.581,75;33.647,25
02.01.2023 10:00;02.01.2023 11:00;67.017,00;34.245,50;2.226,75;25.062,75;6.956,00;32.771,50
02.01.2023 11:00;02.01.2023 12:00;68.692,00;36.421,75;2.803,00;24.563,50;9.055,25;32.270,25
02.01.2023 12:00;02.01.2023 13:00;67.976,00;36.401,00;3.411,25;23.972,75;9.017,00;31.575,00
02.01.2023 13:00;02.01.2023 14:00;65.673,00;34.393,25;3.983,75;23.342,00;7.067,50;31.279,75
02.01.2023 14:00;02.01.2023 15:00;63.304,00;31.351,25;4.467,50;22.633,50;4.250,25;31.952,75
02.01.2023 15:00;02.01.2023 16:00;61.649,00;28.746,75;4.763,75;22.369,75;1.613,25;32.902,25
02.01.2023 16:00;02.01.2023 17:00;62.860,00;27.326,75;4.849,75;22.302,50;174,50;35.533,25
02.01.2023 17:00;02.01.2023 18:00;65.981,00;27.175,75;4.946,00;22.229,75;0,00;38.805,25
02.01.2023 18:00;02.01.2023 19:00;67.384,00;27.360,50;5.029,75;22.330,75;0,00;40.023,50
02.01.2023 19:00;02.01.2023 20:00;66.797,00;27.564,75;5.046,25;22.518,50;0,00;39.232,25
02.01.2023 20:00;02.01.2023 21:00;62.040,00;26.788,75;5.020,75;21.768,00;0,00;35.251,25
02.01.2023 21:00;02.01.2023 22:00;59.231,00;25.820,25;4.957,25;20.863,00;0,00;33.410,75
02.01.2023 22:00;02.01.2023 23:00;57.124,00;24.552,50;4.877,00;19.675,50;0,00;32.571,50
02.01.2023 23:00;03.01.2023 00:00;54.417,00;23.391,00;4.768,75;18.622,25;0,00;31.026,00
03.01.2023 00:00;03.01.2023 01:00;49.963,00;21.106,25;4.542,75;16.563,50;0,00;28.856,75
03.01.2023 01:00;03.01.2023 02:00;48.089,00;19.730,75;4.245,75;15.485,00;0,00;28.358,25
03.01.2023 02:00;03.01.2023 03:00;46.695,00;18.415,50;4.061,25;14.354,25;0,00;28.279,50
03.01.2023 03:00;03.01.2023 04:00;44.655,00;17.254,25;3.828,75;13.425,50;0,00;27.400,75
03.01.2023 04:00;03.01.2023 05:00;43.692,00;16.135,25;3.561,25;12.574,00;0,00;27.556,75
03.01.2023 05:00;03.01.2023 06:00;43.915,00;14.800,50;3.247,75;11.552,75;0,00;29.114,50
03.01.2023 06:00;03.01.2023 07:00;47.547,00;13.595,00;2.908,75;10.686,25;0,00;33.952,00
03.01.2023 07:00;03.01.2023 08:00;51.098,00;12.506,75;2.679,50;9.827,25;0,00;38.591,25
03.01.2023 08:00;03.01.2023 09:00;54.772,00;12.509,75;2.624,50;9.467,75;417,50;42.262,25
03.01.2023 09:00;03.01.2023 10:00;56.146,00;14.667,50;2.767,25;9.218,00;2.682,25;41.478,50
03.01.2023 10:00;03.01.2023 11:00;56.920,00;17.341,00;3.097,00;8.641,00;5.603,00;39.579,00
03.01.2023 11:00;03.01.2023 12:00;58.679,00;19.410,25;3.501,25;8.088,50;7.820,50;39.268,75
03.01.2023 12:00;03.01.2023 13:00;59.179,00;20.419,00;3.869,75;8.073,00;8.476,25;38.760,00
03.01.2023 13:00;03.01.2023 14:00;57.867,00;20.066,00;4.327,00;8.250,00;7.489,00;37.801,00
03.01.2023 14:00;03.01.2023 15:00;56.981,00;17.958,50;4.835,25;8.025,25;5.098,00;39.022,50
03.01.2023 15:00;03.01.2023 16:00;55.968,00;15.289,25;5.139,75;8.172,75;1.976,75;40.678,75
03.01.2023 16:00;03.01.2023 17:00;56.681,00;15.037,25;5.359,00;9.475,50;202,75;41.643,75
03.01.2023 17:00;03.01.2023 18:00;61.127,00;17.087,50;5.557,75;11.529,75;0,00;44.039,50
03.01.2023 18:00;03.01.2023 19:00;62.998,00;19.320,50;5.568,25;13.752,25;0,00;43.677,50
03.01.2023 19:00;03.01.2023 20:00;63.171,00;21.873,50;5.555,00;16.318,50;0,00;41.297,50
03.01.2023 20:00;03.01.2023 21:00;63.954,00;24.162,00;5.502,25;18.659,75;0,00;39.792,00
03.01.2023 21:00;03.01.2023 22:00;62.176,00;26.282,25;5.445,75;20.836,50;0,00;35.893,75
03.01.2023 22:00;03.01.2023 23:00;60.778,00;27.825,25;5.475,75;22.349,50;0,00;32.952,75
03.01.2023 23:00;04.01.2023 00:00;59.809,00;29.341,75;5.538,00;23.803,75;0,00;30.467,25
04.01.2023 00:00;04.01.2023 01:00;56.607,00;29.690,25;5.629,50;24.060,75;0,00;26.916,75
04.01.2023 01:00;04.01.2023 02:00;56.801,00;31.582,25;5.471,25;26.111,00;0,00;25.218,75
04.01.2023 02:00;04.01.2023 03:00;57.064,00;33.699,50;5.556,00;28.143,50;0,00;23.364,50
04.01.2023 03:00;04.01.2023 04:00;57.438,00;34.657,75;5.472,25;29.185,50;0,00;22.780,25
04.01.2023 04:00;04.01.2023 05:00;58.376,00;35.265,25;5.561,25;29.704,00;0,00;23.110,75
04.01.2023 05:00;04.01.2023 06:00;62.210,00;38.607,50;5.642,75;32.964,75;0,00;23.602,50
04.01.2023 06:00;04.01.2023 07:00;69.538,00;42.336,50;5.623,25;36.713,25;0,00;27.201,50
04.01.2023 07:00;04.01.2023 08:00;75.752,00;43.790,50;5.655,75;38.134,75;0,00;31.961,50
04.01.2023 08:00;04.01.2023 09:00;79.026,00;45.272,00;5.628,00;39.388,00;256,00;33.754,00
04.01.2023 09:00;04.01.2023 10:00;79.986,00;47.088,75;5.626,75;40.271,50;1.190,50;32.897,25
04.01.2023 10:00;04.01.2023 11:00;78.176,00;48.538,00;5.636,75;40.810,75;2.090,50;29.638,00
04.01.2023 11:00;04.01.2023 12:00;78.585,00;49.359,75;5.647,00;41.143,50;2.569,25;29.225,25
04.01.2023 12:00;04.01.2023 13:00;78.067,00;49.582,50;5.647,00;41.361,00;2.574,50;28.484,50
04.01.2023 13:00;04.01.2023 14:00;76.616,00;49.224,25;5.637,50;41.527,75;2.059,00;27.391,75
04.01.2023 14:00;04.01.2023 15:00;75.060,00;48.471,25;5.614,75;41.529,75;1.326,75;26.588,75
04.01.2023 15:00;04.01.2023 16:00;73.696,00;47.620,50;5.599,50;41.478,00;543,00;26.075,50
04.01.2023 16:00;04.01.2023 17:00;75.696,00;47.100,50;5.595,00;41.421,75;83,75;28.595,50
04.01.2023 17:00;04.01.2023 18:00;79.156,00;46.994,25;5.592,00;41.402,25;0,00;32.161,75
04.01.2023 18:00;04.01.2023 19:00;78.247,00;47.091,50;5.594,50;41.497,00;0,00;31.155,50
04.01.2023 19:00;04.01.2023 20:00;78.228,00;47.550,25;5.605,00;41.945,25;0,00;30.677,75
04.01.2023 20:00;04.01.2023 21:00;75.294,00;47.673,00;5.611,50;42.061,50;0,00;27.621,00
04.01.2023 21:00;04.01.2023 22:00;73.061,00;47.068,50;5.626,50;41.442,00;0,00;25.992,50
04.01.2023 22:00;04.01.2023 23:00;70.513,00;46.128,75;5.652,00;40.476,75;0,00;24.384,25
04.01.2023 23:00;05.01.2023 00:00;68.445,00;46.045,25;5.649,75;40.395,50;0,00;22.399,75
05.01.2023 00:00;05.01.2023 01:00;63.150,00;44.381,50;5.958,75;38.422,75;0,00;18.768,50
05.01.2023 01:00;05.01.2023 02:00;62.716,00;43.316,50;5.638,25;37.678,25;0,00;19.399,50
05.01.2023 02:00;05.01.2023 03:00;61.632,00;42.936,50;5.629,75;37.306,75;0,00;18.695,50
05.01.2023 03:00;05.01.2023 04:00;61.743,00;42.793,00;5.625,50;37.167,50;0,00;18.950,00
05.01.2023 04:00;05.01.2023 05:00;62.213,00;42.885,25;5.637,75;37.247,50;0,00;19.327,75
05.01.2023 05:00;05.01.2023 06:00;65.080,00;43.220,25;5.638,25;37.582,00;0,00;21.859,75
05.01.2023 06:00;05.01.2023 07:00;69.288,00;43.749,75;5.694,25;38.055,50;0,00;25.538,25
05.01.2023 07:00;05.01.2023 08:00;73.857,00;42.623,00;5.727,75;36.895,25;0,00;31.234,00
05.01.2023 08:00;05.01.2023 09:00;76.292,00;41.381,00;5.562,50;35.563,25;255,25;34.911,00
05.01.2023 09:00;05.01.2023 10:00;75.150,00;40.569,25;5.007,50;34.039,50;1.522,25;34.580,75
05.01.2023 10:00;05.01.2023 11:00;72.984,00;39.731,75;4.206,00;32.315,75;3.210,00;33.252,25
05.01.2023 11:00;05.01.2023 12:00;71.674,00;38.518,75;3.273,50;30.548,00;4.697,25;33.155,25
05.01.2023 12:00;05.01.2023 13:00;70.115,00;36.653,75;2.375,50;28.833,00;5.445,25;33.461,25
05.01.2023 13:00;05.01.2023 14:00;67.012,00;33.675,25;1.770,50;26.757,75;5.147,00;33.336,75
05.01.2023 14:00;05.01.2023 15:00;62.333,00;28.512,75;1.411,25;23.407,75;3.693,75;33.820,25
05.01.2023 15:00;05.01.2023 16:00;57.951,00;22.355,25;1.142,50;19.746,00;1.466,75;35.595,75
05.01.2023 16:00;05.01.2023 17:00;55.072,00;17.703,25;964,25;16.565,75;173,25;37.368,75
05.01.2023 17:00;05.01.2023 18:00;55.202,00;14.741,50;885,25;13.856,25;0,00;40.460,50
05.01.2023 18:00;05.01.2023 19:00;53.954,00;12.695,75;959,50;11.736,25;0,00;41.258,25
05.01.2023 19:00;05.01.2023 20:00;51.891,00;11.554,25;1.252,00;10.302,25;0,00;40.336,75
05.01.2023 20:00;05.01.2023 21:00;49.015,00;10.735,00;1.786,50;8.948,50;0,00;38.280,00
05.01.2023 21:00;05.01.2023 22:00;47.574,00;10.662,00;2.451,00;8.211,00;0,00;36.912,00
05.01.2023 22:00;05.01.2023 23:00;46.817,00;11.286,75;3.077,00;8.209,75;0,00;35.530,25
05.01.2023 23:00;06.01.2023 00:00;44.318,00;12.452,50;3.780,50;8.672,00;0,00;31.865,50
06.01.2023 00:00;06.01.2023 01:00;48.148,00;15.599,50;4.743,00;10.856,50;0,00;32.548,50
06.01.2023 01:00;06.01.2023 02:00;46.563,00;16.509,00;4.796,50;11.712,50;0,00;30.054,00
06.01.2023 02:00;06.01.2023 03:00;47.805,00;17.755,00;4.977,75;12.777,25;0,00;30.050,00
06.01.2023 03:00;06.01.2023 04:00;48.176,00;19.243,25;5.149,75;14.093,50;0,00;28.932,75
06.01.2023 04:00;06.01.2023 05:00;49.495,00;20.896,75;5.295,50;15.601,25;0,00;28.598,25
06.01.2023 05:00;06.01.2023 06:00;51.963,00;22.660,50;5.448,25;17.212,25;0,00;29.302,50
06.01.2023 06:00;06.01.2023 07:00;57.121,00;24.983,75;5.535,50;19.448,25;0,00;32.137,25
06.01.2023 07:00;06.01.2023 08:00;61.473,00;27.178,75;5.531,00;21.647,75;0,00;34.294,25
06.01.2023 08:00;06.01.2023 09:00;65.260,00;29.713,25;5.359,75;24.009,50;344,00;35.546,75
06.01.2023 09:00;06.01.2023 10:00;68.785,00;33.017,75;5.321,50;25.844,50;1.851,75;35.767,25
06.01.2023 10:00;06.01.2023 11:00;71.482,00;35.865,00;5.414,25;26.639,75;3.811,00;35.617,00
06.01.2023 11:00;06.01.2023 12:00;71.882,00;37.220,00;5.575,75;26.183,25;5.461,00;34.662,00
06.01.2023 12:00;06.01.2023 13:00;71.738,00;37.236,00;5.679,25;25.383,00;6.173,75;34.502,00
06.01.2023 13:00;06.01.2023 14:00;68.290,00;35.894,50;5.656,25;24.655,25;5.583,00;32.395,50
06.01.2023 14:00;06.01.2023 15:00;64.375,00;32.437,25;5.676,50;22.996,50;3.764,25;31.937,75
06.01.2023 15:00;06.01.2023 16:00;60.736,00;28.164,25;5.679,50;20.954,50;1.530,25;32.571,75
06.01.2023 16:00;06.01.2023 17:00;59.966,00;24.911,50;5.623,25;19.077,25;211,00;35.054,50
06.01.2023 17:00;06.01.2023 18:00;62.566,00;23.000,00;5.512,50;17.487,50;0,00;39.566,00
06.01.2023 18:00;06.01.2023 19:00;62.732,00;21.687,75;5.293,50;16.394,25;0,00;41.044,25
06.01.2023 19:00;06.01.2023 20:00;60.406,00;20.778,00;5.017,75;15.760,25;0,00;39.628,00
06.01.2023 20:00;06.01.2023 21:00;55.317,00;19.496,00;4.741,25;14.754,75;0,00;35.821,00
06.01.2023 21:00;06.01.2023 22:00;51.771,00;18.250,75;4.467,00;13.783,75;0,00;33.520,25
06.01.2023 22:00;06.01.2023 23:00;49.527,00;17.070,50;4.171,75;12.898,75;0,00;32.456,50
06.01.2023 23:00;07.01.2023 00:00;45.791,00;16.168,50;3.842,50;12.326,00;0,00;29.622,50
07.01.2023 00:00;07.01.2023 01:00;44.057,00;17.198,25;4.253,75;12.944,50;0,00;26.858,75
07.01.2023 01:00;07.01.2023 02:00;42.847,00;16.562,00;4.237,50;12.324,50;0,00;26.285,00
07.01.2023 02:00;07.01.2023 03:00;41.855,00;16.422,50;4.448,75;11.973,75;0,00;25.432,50
07.01.2023 03:00;07.01.2023 04:00;41.206,00;16.648,25;4.661,00;11.987,25;0,00;24.557,75
07.01.2023 04:00;07.01.2023 05:00;41.607,00;16.885,75;4.822,25;12.063,50;0,00;24.721,25
07.01.2023 05:00;07.01.2023 06:00;41.798,00;17.037,00;4.980,25;12.056,75;0,00;24.761,00
07.01.2023 06:00;07.01.2023 07:00;44.027,00;17.303,50;5.043,00;12.260,50;0,00;26.723,50
07.01.2023 07:00;07.01.2023 08:00;46.737,00;17.453,25;5.072,75;12.380,50;0,00;29.283,75
07.01.2023 08:00;07.01.2023 09:00;49.644,00;18.283,00;5.116,00;12.684,25;482,75;31.361,00
07.01.2023 09:00;07.01.2023 10:00;53.010,00;21.115,50;5.163,00;13.061,50;2.891,00;31.894,50
07.01.2023 10:00;07.01.2023 11:00;55.774,00;24.220,75;5.229,50;12.762,75;6.228,50;31.553,25
07.01.2023 11:00;07.01.2023 12:00;57.487,00;26.381,50;5.285,00;11.982,50;9.114,00;31.105,50
07.01.2023 12:00;07.01.2023 13:00;58.756,00;27.508,50;5.325,50;11.667,50;10.515,50;31.247,50
07.01.2023 13:00;07.01.2023 14:00;58.088,00;27.324,75;5.380,50;12.101,00;9.843,25;30.763,25
07.01.2023 14:00;07.01.2023 15:00;55.879,00;25.292,75;5.412,50;12.828,25;7.052,00;30.586,25
07.01.2023 15:00;07.01.2023 16:00;53.892,00;23.093,75;5.449,25;14.734,00;2.910,50;30.798,25
07.01.2023 16:00;07.01.2023 17:00;54.692,00;23.810,25;5.483,00;17.943,50;383,75;30.881,75
07.01.2023 17:00;07.01.2023 18:00;59.565,00;26.616,50;5.568,25;21.048,25;0,00;32.948,50
07.01.2023 18:00;07.01.2023 19:00;62.671,00;29.105,75;5.676,00;23.429,75;0,00;33.565,25
07.01.2023 19:00;07.01.2023 20:00;62.993,00;30.793,00;5.841,75;24.951,25;0,00;32.200,00
07.01.2023 20:00;07.01.2023 21:00;59.557,00;31.230,00;5.924,75;25.305,25;0,00;28.327,00
07.01.2023 21:00;07.01.2023 22:00;56.769,00;31.132,75;5.960,25;25.172,50;0,00;25.636,25
07.01.2023 22:00;07.01.2023 23:00;55.381,00;30.254,75;5.938,00;24.316,75;0,00;25.126,25
07.01.2023 23:00;08.01.2023 00:00;53.902,00;29.701,75;5.972,25;23.729,50;0,00;24.200,25
08.01.2023 00:00;08.01.2023 01:00;52.158,00;30.390,00;6.292,00;24.098,00;0,00;21.768,00
08.01.2023 01:00;08.01.2023 02:00;50.140,00;28.630,25;5.873,75;22.756,50;0,00;21.509,75
08.01.2023 02:00;08.01.2023 03:00;49.080,00;27.571,75;5.806,75;21.765,00;0,00;21.508,25
08.01.2023 03:00;08.01.2023 04:00;47.689,00;26.055,00;5.737,50;20.317,50;0,00;21.634,00
08.01.2023 04:00;08.01.2023 05:00;46.346,00;25.070,75;5.744,75;19.326,00;0,00;21.275,25
08.01.2023 05:00;08.01.2023 06:00;45.183,00;24.471,00;5.810,50;18.660,50;0,00;20.712,00
08.01.2023 06:00;08.01.2023 07:00;45.894,00;23.642,50;5.668,75;17.973,75;0,00;22.251,50
08.01.2023 07:00;08.01.2023 08:00;48.031,00;23.307,00;5.574,25;17.732,75;0,00;24.724,00
08.01.2023 08:00;08.01.2023 09:00;48.913,00;23.298,00;5.515,00;17.466,25;316,75;25.615,00
08.01.2023 09:00;08.01.2023 10:00;51.417,00;24.191,50;5.478,50;17.086,75;1.626,25;27.225,50
08.01.2023 10:00;08.01.2023 11:00;54.818,00;25.155,00;5.430,00;16.562,00;3.163,00;29.663,00
08.01.2023 11:00;08.01.2023 12:00;56.695,00;25.732,25;5.390,50;15.972,50;4.369,25;30.962,75
08.01.2023 12:00;08.01.2023 13:00;56.950,00;25.534,75;5.367,00;15.503,25;4.664,50;31.415,25
08.01.2023 13:00;08.01.2023 14:00;54.414,00;24.270,50;5.275,00;15.009,75;3.985,75;30.143,50
08.01.2023 14:00;08.01.2023 15:00;51.218,00;21.855,00;5.167,50;14.036,50;2.651,00;29.363,00
08.01.2023 15:00;08.01.2023 16:00;49.058,00;19.539,50;5.043,75;13.395,75;1.100,00;29.518,50
08.01.2023 16:00;08.01.2023 17:00;49.699,00;18.821,50;4.959,00;13.702,25;160,25;30.877,50
08.01.2023 17:00;08.01.2023 18:00;54.175,00;19.755,25;4.975,25;14.780,00;0,00;34.419,75
08.01.2023 18:00;08.01.2023 19:00;55.672,00;20.955,75;5.047,75;15.908,00;0,00;34.716,25
08.01.2023 19:00;08.01.2023 20:00;55.957,00;22.179,50;5.078,50;17.101,00;0,00;33.777,50
08.01.2023 20:00;08.01.2023 21:00;53.935,00;22.727,00;5.060,00;17.667,00;0,00;31.208,00
08.01.2023 21:00;08.01.2023 22:00;52.994,00;23.150,50;5.039,00;18.111,50;0,00;29.843,50
08.01.2023 22:00;08.01.2023 23:00;51.701,00;23.313,50;5.087,00;18.226,50;0,00;28.387,50
08.01.2023 23:00;09.01.2023 00:00;50.934,00;23.545,50;5.110,00;18.435,50;0,00;27.388,50
09.01.2023 00:00;09.01.2023 01:00;47.510,00;23.834,00;5.846,75;17.987,25;0,00;23.676,00
09.01.2023 01:00;09.01.2023 02:00;46.267,00;23.199,25;5.215,75;17.983,50;0,00;23.067,75
09.01.2023 02:00;09.01.2023 03:00;45.677,00;22.952,75;5.065,00;17.887,75;0,00;22.724,25
09.01.2023 03:00;09.01.2023 04:00;45.342,00;22.822,25;4.862,25;17.960,00;0,00;22.519,75
09.01.2023 04:00;09.01.2023 05:00;45.097,00;22.419,00;4.384,50;18.034,50;0,00;22.678,00
09.01.2023 05:00;09.01.2023 06:00;47.490,00;21.940,25;3.745,50;18.194,75;0,00;25.549,75
09.01.2023 06:00;09.01.2023 07:00;53.717,00;21.887,00;3.154,25;18.732,75;0,00;31.830,00
09.01.2023 07:00;09.01.2023 08:00;59.074,00;21.717,00;2.818,50;18.898,50;0,00;37.357,00
09.01.2023 08:00;09.01.2023 09:00;61.986,00;22.157,50;2.755,75;19.165,50;236,25;39.828,50
09.01.2023 09:00;09.01.2023 10:00;63.816,00;23.727,50;2.778,25;19.644,50;1.304,75;40.088,50
09.01.2023 10:00;09.01.2023 11:00;65.118,00;25.475,75;2.648,75;19.942,75;2.884,25;39.642,25
09.01.2023 11:00;09.01.2023 12:00;65.848,00;26.918,75;2.504,25;20.013,75;4.400,75;38.929,25
09.01.2023 12:00;09.01.2023 13:00;65.989,00;27.281,75;2.396,25;19.756,25;5.129,25;38.707,25
09.01.2023 13:00;09.01.2023 14:00;64.131,00;25.980,00;2.363,75;18.724,00;4.892,25;38.151,00
09.01.2023 14:00;09.01.2023 15:00;61.710,00;23.163,00;2.366,50;17.135,25;3.661,25;38.547,00
09.01.2023 15:00;09.01.2023 16:00;59.224,00;19.860,75;2.394,25;15.973,50;1.493,00;39.363,25
09.01.2023 16:00;09.01.2023 17:00;59.746,00;18.373,00;2.480,75;15.704,25;188,00;41.373,00
09.01.2023 17:00;09.01.2023 18:00;62.158,00;18.629,25;2.654,50;15.974,75;0,00;43.528,75
09.01.2023 18:00;09.01.2023 19:00;63.205,00;19.381,75;2.862,75;16.519,00;0,00;43.823,25
09.01.2023 19:00;09.01.2023 20:00;63.859,00;20.586,75;3.114,75;17.472,00;0,00;43.272,25
09.01.2023 20:00;09.01.2023 21:00;61.125,00;21.404,00;3.402,50;18.001,50;0,00;39.721,00
09.01.2023 21:00;09.01.2023 22:00;59.088,00;22.104,25;3.672,75;18.431,50;0,00;36.983,75
09.01.2023 22:00;09.01.2023 23:00;56.628,00;22.487,00;3.985,00;18.502,00;0,00;34.141,00
09.01.2023 23:00;10.01.2023 00:00;55.409,00;22.983,50;4.211,50;18.772,00;0,00;32.425,50
10.01.2023 00:00;10.01.2023 01:00;52.708,00;21.697,00;3.632,00;18.065,00;0,00;31.011,00
10.01.2023 01:00;10.01.2023 02:00;51.456,00;21.323,75;3.268,00;18.055,75;0,00;30.132,25
10.01.2023 02:00;10.01.2023 03:00;50.596,00;21.064,25;2.961,00;18.103,25;0,00;29.531,75
10.01.2023 03:00;10.01.2023 04:00;50.523,00;20.959,75;2.678,00;18.281,75;0,00;29.563,25
10.01.2023 04:00;10.01.2023 05:00;50.504,00;20.820,75;2.506,50;18.314,25;0,00;29.683,25
10.01.2023 05:00;10.01.2023 06:00;52.285,00;20.615,75;2.508,25;18.107,50;0,00;31.669,25
10.01.2023 06:00;10.01.2023 07:00;56.642,00;20.778,00;2.621,75;18.156,25;0,00;35.864,00
10.01.2023 07:00;10.01.2023 08:00;63.217,00;20.332,00;2.747,25;17.584,75;0,00;42.885,00
10.01.2023 08:00;10.01.2023 09:00;65.905,00;19.840,00;2.869,00;16.678,75;292,25;46.065,00
10.01.2023 09:00;10.01.2023 10:00;66.625,00;20.764,25;3.078,75;15.983,75;1.701,75;45.860,75
10.01.2023 10:00;10.01.2023 11:00;66.510,00;22.758,50;3.374,00;15.722,50;3.662,00;43.751,50
10.01.2023 11:00;10.01.2023 12:00;67.455,00;25.006,25;3.831,75;15.900,50;5.274,00;42.448,75
10.01.2023 12:00;10.01.2023 13:00;67.142,00;26.196,50;4.437,25;15.888,50;5.870,75;40.945,50
10.01.2023 13:00;10.01.2023 14:00;66.463,00;26.034,75;5.073,00;15.556,00;5.405,75;40.428,25
10.01.2023 14:00;10.01.2023 15:00;65.109,00;24.335,50;5.527,25;14.959,50;3.848,75;40.773,50
10.01.2023 15:00;10.01.2023 16:00;63.800,00;22.139,50;5.640,50;14.853,00;1.646,00;41.660,50
10.01.2023 16:00;10.01.2023 17:00;64.433,00;22.116,75;5.721,00;16.150,50;245,25;42.316,25
10.01.2023 17:00;10.01.2023 18:00;67.654,00;24.297,50;5.701,00;18.596,50;0,00;43.356,50
10.01.2023 18:00;10.01.2023 19:00;70.036,00;27.217,75;5.639,00;21.578,75;0,00;42.818,25
10.01.2023 19:00;10.01.2023 20:00;70.809,00;30.377,00;5.604,25;24.772,75;0,00;40.432,00
10.01.2023 20:00;10.01.2023 21:00;70.776,00;33.015,00;5.479,25;27.535,75;0,00;37.761,00
10.01.2023 21:00;10.01.2023 22:00;69.591,00;35.326,50;5.480,00;29.846,50;0,00;34.264,50
10.01.2023 22:00;10.01.2023 23:00;67.647,00;36.358,50;5.516,00;30.842,50;0,00;31.288,50
10.01.2023 23:00;11.01.2023 00:00;65.594,00;37.488,00;5.607,25;31.880,75;0,00;28.106,00
11.01.2023 00:00;11.01.2023 01:00;61.482,00;38.601,75;5.822,25;32.779,50;0,00;22.880,25
11.01.2023 01:00;11.01.2023 02:00;60.061,00;37.934,50;5.769,75;32.164,75;0,00;22.126,50
11.01.2023 02:00;11.01.2023 03:00;59.856,00;38.248,75;5.733,50;32.515,25;0,00;21.607,25
11.01.2023 03:00;11.01.2023 04:00;59.580,00;38.447,50;5.692,25;32.755,25;0,00;21.132,50
